Age,Gender,Sexuality,Ethnicity,EdLevel,CompanySize,Country,Employment,DevType(Position),Currency,CurrencySymbol,Salary,SalaryFreq,DollarizedSalary,YearsCode,YearsCodePro,OperatingSystem,DatabaseWantToWorkWith,DatabaseHaveWorkedWith,FrameworkWantToWorkWith,FrameworkHaveWorkedWith,LanguageWantToWorkWith,LanguageHaveWorkedWith,PlatformWantToWorkWith,PlatformHaveWorkedWith,SurveyYear
35-44 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,India,"Not employed, and not looking for work",,,,,,,22,,Windows,,,ASP.NET Core ;Blazor,Angular;ASP.NET;ASP.NET Core ,C#;Dart;Kotlin;Python,C#;SQL;TypeScript;VBA,Microsoft Azure,Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,Germany,"Employed, full-time","Developer, back-end",European Euro,EUR,6000.0,Monthly,76788.0,15,6,macOS,PostgreSQL;Redis;SQLite,MySQL;PostgreSQL;Redis;SQLite,Ruby on Rails,Ruby on Rails,Crystal;Dart;HTML/CSS;Ruby,Crystal;Dart;Ruby,AWS,AWS,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,UK,"Employed, full-time","Developer, QA or test",Pound sterling,GBP,,,,15,10,Linux-based,MySQL;PostgreSQL,MySQL;PostgreSQL,Angular.js;Node.js,Angular.js;Node.js,Bash/Shell;HTML/CSS;Java;JavaScript;Python,Bash/Shell;HTML/CSS;JavaScript;Perl,,,2022
18-24 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,2 to 9 employees,UK,"Independent contractor, freelancer, or self-employed","Developer, full-stack;Designer",Pound sterling,GBP,37440.0,Yearly,47039.0,13,6,Windows,DynamoDB;PostgreSQL,DynamoDB;PostgreSQL,Angular;Django;Node.js;Ruby on Rails,Angular;Django;Node.js;Ruby on Rails,HTML/CSS;JavaScript;Kotlin;PHP;Python;Ruby,HTML/CSS;JavaScript;Kotlin;PHP;Python;Ruby,AWS;Google Cloud;Linode;Managed Hosting,AWS;Google Cloud;Linode;Managed Hosting,2022
35-44 years old,Man,Straight / Heterosexual,European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,Germany,"Employed, full-time","Developer, full-stack",European Euro,EUR,72000.0,Yearly,76783.0,20,18,Windows,,SQLite,,,C#,C#,,Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",UK,"Employed, full-time","Developer, back-end;DevOps specialist;Cloud infrastructure engineer",Pound sterling,GBP,150000.0,Yearly,188459.0,25,17,Linux-based;macOS,Redis;SQLite,DynamoDB;MariaDB;Redis;SQLite,Express;Node.js;Ruby on Rails,Express;Node.js,Crystal;Go;Python;Ruby;TypeScript,Bash/Shell;Crystal;Go;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,AWS,AWS,2022
35-44 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,UK,"Employed, full-time","Developer, back-end",Pound sterling,GBP,270000.0,Yearly,339226.0,25,19,Windows,Microsoft SQL Server,Microsoft SQL Server,,,C#;Go;TypeScript,C#;Rust;TypeScript,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,India,"Student, full-time;Employed, part-time","Developer, back-end;Student;Academic researcher",,,,,,4,,Linux-based,Cassandra;MongoDB;MySQL,Cassandra;MongoDB;MySQL;PostgreSQL,,Node.js,C;C++,C;Python;SQL,,,2022
35-44 years old,Man,,Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",India,"Employed, full-time","Developer, full-stack;Developer, back-end",Indian rupee,INR,400000.0,Yearly,5159.0,18,15,,,Elasticsearch;MySQL;Oracle,,Angular;Angular.js;jQuery,,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,,Managed Hosting,2022
Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,"Associate degree (A.A., A.S., etc.)",,USA,I prefer not to say,,,,,,,37,,BSD;Linux-based;Windows;Windows Subsystem for Linux (WSL);Other (please specify):,MariaDB;SQLite,MariaDB;SQLite,Node.js;React.js,Node.js;React.js,Assembly;Bash/Shell;C;C++;Clojure;HTML/CSS;Java;JavaScript;Kotlin;LISP;Lua;Python;SQL,Assembly;Bash/Shell;C;C++;Clojure;HTML/CSS;Java;JavaScript;LISP;Lua;Python;SQL,,,2022
25-34 years old,Man,Straight / Heterosexual,Indian;Asian;South Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",India,"Employed, full-time","Other (please specify):;Developer, embedded applications or devices",Indian rupee,INR,5000000.0,Yearly,64486.0,10,8,macOS,,,,,Haskell;MATLAB;TypeScript,Assembly;C;C++,,,2022
25-34 years old,Man,Straight / Heterosexual,White;European,Some college/university study without earning a degree,500 to 999 employees,UK,"Employed, full-time","Engineer, data;Developer, back-end;Cloud infrastructure engineer",Pound sterling,GBP,90000.0,Yearly,113075.0,11,8,Linux-based;macOS,DynamoDB;MySQL;PostgreSQL,DynamoDB;Elasticsearch;MySQL;Oracle;PostgreSQL,,,Clojure,Clojure,AWS,AWS,2022
35-44 years old,Man,Straight / Heterosexual,White;European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,UK,"Employed, full-time","Developer, game or graphics",Pound sterling,GBP,165000.0,Yearly,207305.0,30,22,Windows;Windows Subsystem for Linux (WSL),SQLite,SQLite,ASP.NET Core ;Svelte,ASP.NET Core ,C#;C++;F#;Haskell;SQL;TypeScript,C#;F#;HTML/CSS;JavaScript;PowerShell;SQL,Microsoft Azure,Microsoft Azure,2022
45-54 years old,Man,Straight / Heterosexual,Indian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Just me - I am a freelancer, sole proprietor, etc.",India,"Independent contractor, freelancer, or self-employed","Developer, full-stack",Indian rupee,INR,,,,25,22,Linux-based,Cloud Firestore;MongoDB,Cloud Firestore;MongoDB;MySQL,Next.js;Node.js;React.js,Next.js;Node.js;React.js,Clojure;JavaScript;Rust,Clojure;JavaScript;Julia,Firebase;Google Cloud;Heroku,Firebase;Google Cloud;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,Asian,"Professional degree (JD, MD, etc.)",,India,"Employed, full-time;Student, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Engineering manager;Database administrator;Academic researcher;Developer, embedded applications or devices;Cloud infrastructure engineer;Designer;System administrator;Blockchain;Security professional",,,,,,7,,,,CouchDB;Cloud Firestore;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database,,Angular.js;Flask;jQuery;Next.js;Node.js;Nuxt.js;React.js;Vue.js,,Assembly;C;C++;Go;HTML/CSS;Java;JavaScript;Python;R;Solidity,,Firebase;Google Cloud;Heroku,2022
45-54 years old,Man,Prefer not to say,European,Some college/university study without earning a degree,100 to 499 employees,UK,"Employed, full-time",Engineering manager,Pound sterling,GBP,100018.0,Yearly,125662.0,40,35,Linux-based,PostgreSQL;SQLite,Cloud Firestore;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,,,Assembly;C++;Clojure;Crystal;Dart;Elixir;Erlang;F#;Go;HTML/CSS;Java;LISP;Objective-C;Ruby;SQL,Bash/Shell;C;C++;Go;Groovy;HTML/CSS;Java;JavaScript;LISP;Python;SQL,,AWS;Colocation;Firebase;OVH,2022
35-44 years old,Man,Straight / Heterosexual,White,Some college/university study without earning a degree,"10,000 or more employees",UK,"Employed, full-time","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Senior Executive (C-Suite, VP, etc.)",Pound sterling,GBP,150000.0,Yearly,188459.0,25,23,Windows;Windows Subsystem for Linux (WSL),Redis,Microsoft SQL Server;PostgreSQL;Redis,ASP.NET;React.js,ASP.NET;React.js,C#;JavaScript;SQL;TypeScript,C#;JavaScript;SQL;TypeScript,Microsoft Azure,Microsoft Azure,2022
Under 18 years old,Man,Straight / Heterosexual,Asian,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,India,"Student, full-time",,,,,,,6,,,MongoDB;SQLite,MongoDB;Firebase Realtime Database;SQLite,Node.js;React.js;Svelte,Next.js;Node.js;React.js,Assembly;C++;JavaScript;Python;Rust;TypeScript,C;C#;C++;Python,Heroku;Microsoft Azure,Firebase;Heroku;Microsoft Azure,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",UK,"Employed, full-time","Developer, front-end;Developer, full-stack",Pound sterling,GBP,60000.0,Yearly,75384.0,11,6,macOS,,,Express;Next.js;Node.js;React.js;Svelte,Express;Node.js;React.js,Go;HTML/CSS;TypeScript,HTML/CSS;JavaScript;Rust;TypeScript,,,2022
25-34 years old,Man,Straight / Heterosexual,White;European,Some college/university study without earning a degree,"1,000 to 4,999 employees",Germany,"Employed, full-time",Project manager;Designer,European Euro,EUR,66600.0,Yearly,71025.0,22,17,Windows;Windows Subsystem for Linux (WSL),Redis;SQLite,PostgreSQL;SQLite,,,Bash/Shell;C;Go,Bash/Shell;C;Go;Perl;Python;SQL,,AWS;Managed Hosting,2022
18-24 years old,Man,Straight / Heterosexual,Indian;Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,India,"Student, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Developer, front-end;Developer, full-stack;Developer, back-end;Student;Developer, mobile",,,,,,4,,Linux-based;Windows,Cassandra;Cloud Firestore;DynamoDB;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis;SQLite,Cloud Firestore;MySQL;PostgreSQL;Firebase Realtime Database;SQLite,Angular.js;Django;Next.js;Node.js;React.js,Django;React.js,Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;SQL;Swift;TypeScript,C;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL,AWS;DigitalOcean;Firebase;Google Cloud;Heroku;Microsoft Azure,DigitalOcean;Firebase;Heroku,2022
25-34 years old,Man,Straight / Heterosexual,European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Just me - I am a freelancer, sole proprietor, etc.",Germany,"Independent contractor, freelancer, or self-employed","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Project manager;Designer",European Euro,EUR,,,,23,5,Linux-based,MySQL,MariaDB;MySQL;SQLite,Node.js;Symfony;Vue.js,Node.js;Symfony;Vue.js,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;Python;SQL;VBA,Google Cloud,AWS;Google Cloud,2022
18-24 years old,Man,Bisexual,Indian,Some college/university study without earning a degree,,India,"Employed, full-time;Student, full-time","Developer, front-end;Developer, full-stack",,,,,,2,,Linux-based,MongoDB,MongoDB,Next.js;React.js,Next.js;React.js,Dart;JavaScript;Python;TypeScript,JavaScript;TypeScript,AWS;Google Cloud,AWS;Google Cloud,2022
25-34 years old,Man,Prefer not to say,Southeast Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",India,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;DevOps specialist;Cloud infrastructure engineer;System administrator;Security professional",Indian rupee,INR,100000.0,Monthly,15480.0,7,5,Linux-based;macOS,DynamoDB;MongoDB;PostgreSQL;Redis,DynamoDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Express;Gatsby;jQuery;Node.js;Vue.js,Drupal;Express;Gatsby;jQuery;Node.js;React.js;Ruby on Rails;Svelte;Vue.js,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,Bash/Shell;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,AWS;Google Cloud;Microsoft Azure,AWS;Google Cloud;Heroku,2022
18-24 years old,Man,Prefer not to say,Asian,Some college/university study without earning a degree,,India,"Student, full-time",,,,,,,2,,Windows,MongoDB;Firebase Realtime Database,MongoDB;Firebase Realtime Database,Express;Node.js;React.js,Express;Node.js;React.js,Java;JavaScript,HTML/CSS;Java;JavaScript,Firebase;Google Cloud;Heroku,AWS;Firebase;Google Cloud;Heroku,2022
Under 18 years old,"Man;Non-binary, genderqueer, or gender non-conforming",Bisexual;Queer,European,Some college/university study without earning a degree,,UK,"Student, part-time;Employed, part-time",Student,,,,,,5,,,,,Node.js,Node.js,C++;Java;JavaScript;Lua;SQL,C++;HTML/CSS;Java;JavaScript;Python;SQL,,,2022
25-34 years old,Man,Straight / Heterosexual,"Or, in your own words:",Some college/university study without earning a degree,,Germany,"Independent contractor, freelancer, or self-employed",Other (please specify):,,,,,,1,,Linux-based,MongoDB;PostgreSQL,Cloud Firestore;MongoDB;Firebase Realtime Database;SQLite,React.js,Next.js;React.js,Assembly;Bash/Shell;HTML/CSS;PowerShell;Python,Bash/Shell;C++;HTML/CSS;JavaScript;Python,,,2022
35-44 years old,Man,Straight / Heterosexual,"White;Or, in your own words:;European","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,Germany,"Employed, full-time","Developer, full-stack;Developer, back-end",European Euro,EUR,3500.0,Monthly,44796.0,25,15,Linux-based;Windows,MySQL;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite,,ASP.NET;jQuery,C++;Python,C++;HTML/CSS;JavaScript;PHP;PowerShell;Python,,,2022
65 years or older,Man,Straight / Heterosexual,North American,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",USA,"Independent contractor, freelancer, or self-employed","Developer, desktop or enterprise applications",United States dollar,USD,60000.0,Yearly,60000.0,45,30,Windows,,,,,,Delphi;SQL;Swift,,,2022
Under 18 years old,Man,Bisexual,Indian,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,India,I prefer not to say,,,,,,,5,,,Cassandra;Cloud Firestore;MongoDB;PostgreSQL;Firebase Realtime Database;Redis;SQLite,Cassandra;Cloud Firestore;MongoDB;PostgreSQL;Firebase Realtime Database;Redis;SQLite,Deno;Django;FastAPI;Flask;Next.js;Node.js;React.js,Deno;Django;FastAPI;Flask;Next.js;Node.js;React.js,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Heroku;VMware,Heroku;VMware,2022
18-24 years old,Man,Bisexual,White,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",500 to 999 employees,Germany,"Employed, full-time","Engineer, data;Developer, full-stack;Cloud infrastructure engineer",European Euro,EUR,61000.0,Yearly,65053.0,12,1,macOS,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server,Node.js;Vue.js,jQuery;Node.js;Vue.js,Bash/Shell;C#;Go;JavaScript;Python;Scala;SQL;Swift,Bash/Shell;C#;HTML/CSS;JavaScript;Python;SQL,Microsoft Azure,Microsoft Azure,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,UK,"Employed, full-time","Engineer, site reliability;Educator;Database administrator;DevOps specialist;System administrator;Security professional",Pound sterling,GBP,220000.0,Yearly,276407.0,20,15,Linux-based;Windows,Neo4j,Elasticsearch;Microsoft SQL Server,Flask,Flask,Assembly;Bash/Shell;PowerShell;Python;Solidity;SQL,Bash/Shell;PowerShell;Python;Solidity;SQL,AWS;Google Cloud;VMware,VMware,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,India,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",Indian rupee,INR,,Monthly,,12,9,macOS,MongoDB,MongoDB;MySQL;SQLite,Angular.js;Django,Angular.js;Django;Express;jQuery;Laravel,JavaScript;Python,JavaScript;PHP;Python,AWS;Google Cloud;Microsoft Azure,AWS;Google Cloud;Microsoft Azure,2022
18-24 years old,Woman,Straight / Heterosexual,Middle Eastern,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",Germany,"Employed, full-time","Developer, mobile",European Euro,EUR,46000.0,Yearly,49056.0,6,1,Windows,,,,,Dart;Kotlin,Dart;Java,,,2022
25-34 years old,Man,Straight / Heterosexual,Indian;Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","10,000 or more employees",India,"Employed, full-time","Developer, full-stack;Developer, back-end;Other (please specify):",Indian rupee,INR,2841000.0,Yearly,36641.0,11,8,Linux-based;macOS,DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;Redis,MongoDB;MySQL,Express;Node.js;Nuxt.js;React.js,Express;Node.js;React.js,Go;HTML/CSS;JavaScript;Solidity;TypeScript,JavaScript;TypeScript,AWS;Google Cloud;Microsoft Azure,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White;Hispanic or Latino/a;South American,Some college/university study without earning a degree,"10,000 or more employees",Argentina,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end",Argentine peso,ARS,350000.0,Monthly,35340.0,10,8,Linux-based;macOS,MariaDB;MySQL;PostgreSQL,MariaDB;MySQL;PostgreSQL,Angular;Angular.js;React.js;Svelte,Angular.js;React.js;Svelte,Go;Java;JavaScript;TypeScript,Bash/Shell;Java;JavaScript;Python,AWS;DigitalOcean;Linode,AWS;DigitalOcean;Linode,2022
25-34 years old,Man,Straight / Heterosexual,Indian;Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,India,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile",Indian rupee,INR,13500.0,Monthly,2088.0,5,3,Linux-based;macOS,PostgreSQL;Redis,PostgreSQL,jQuery;Laravel,jQuery;Laravel,Dart;PHP,Dart;PHP,AWS;Firebase,AWS;Firebase,2022
25-34 years old,Man,Straight / Heterosexual,South Asian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,India,"Employed, full-time","Developer, mobile",Indian rupee,INR,1350000.0,Yearly,17411.0,,6,Windows,MongoDB,Cloud Firestore;SQLite,,,Kotlin;Python,Kotlin,,,2022
35-44 years old,Man,Straight / Heterosexual,European,"Professional degree (JD, MD, etc.)","1,000 to 4,999 employees",Germany,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist",European Euro,EUR,,,,23,18,macOS,MySQL;Oracle;PostgreSQL,Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL,React.js;Vue.js,Angular;jQuery;React.js,C#;Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,C#;Go;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,AWS;Heroku,Heroku,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,UK,"Independent contractor, freelancer, or self-employed","Developer, back-end",Pound sterling,GBP,120000.0,Yearly,150767.0,27,19,Linux-based;macOS;Windows Subsystem for Linux (WSL),CouchDB;Elasticsearch;Neo4j;PostgreSQL;Redis,DynamoDB;Elasticsearch;PostgreSQL,,,Clojure;Rust;Scala;SQL;Swift,Java;Python;Scala;SQL,AWS;Google Cloud;Microsoft Azure,AWS;Google Cloud,2022
25-34 years old,"Man;Or, in your own words:",Straight / Heterosexual,"Or, in your own words:;European;East Asian;Biracial","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",Germany,"Employed, full-time","Developer, front-end;Developer, desktop or enterprise applications;Developer, mobile;Other (please specify):",European Euro,EUR,,Monthly,,12,6,Windows,,,Deno,jQuery;Node.js,JavaScript;TypeScript,Java;JavaScript,,,2022
45-54 years old,Man,Straight / Heterosexual,White;European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,UK,"Employed, full-time","Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer;Designer",Pound sterling,GBP,,Yearly,,34,25,Linux-based,Elasticsearch;MySQL;Redis,Elasticsearch;MySQL;Redis,,,Bash/Shell;C;C++;Go;Perl;SQL,Bash/Shell;Go;HTML/CSS;Perl;Python;SQL,AWS;Colocation,AWS;Colocation;Managed Hosting,2022
25-34 years old,Man,,European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees,Germany,"Employed, full-time","Developer, full-stack",European Euro,EUR,,,,6,3,Windows,Microsoft SQL Server,Microsoft SQL Server,,,C#;SQL,Delphi;SQL,,,2022
Under 18 years old,Man,Straight / Heterosexual,White;European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,UK,"Student, full-time",,,,,,,Less than 1 year,,Windows,MySQL,CouchDB;Microsoft SQL Server;MongoDB,jQuery,Angular;Angular.js;ASP.NET;Django;Node.js;React.js;Ruby on Rails;Svelte;Vue.js,C#;C++;Go,Assembly;Bash/Shell;C;HTML/CSS;JavaScript;PHP;PowerShell;Python;Ruby;TypeScript,,AWS;Google Cloud;Heroku;VMware,2022
55-64 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,UK,"Employed, full-time","Senior Executive (C-Suite, VP, etc.);Security professional",,,,,,39,35,,,Cassandra;SQLite,,,,C;Java;JavaScript;Perl;SQL,,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,UK,"Employed, full-time","Developer, full-stack;Engineering manager",Pound sterling,GBP,,Monthly,,14,10,Windows,Elasticsearch;Redis,Microsoft SQL Server,React.js,ASP.NET;ASP.NET Core ;Node.js;React.js,JavaScript;Kotlin;Swift,Bash/Shell;C#;HTML/CSS;JavaScript;Kotlin;SQL,AWS;Microsoft Azure,Microsoft Azure;Oracle Cloud Infrastructure,2022
18-24 years old,Man,,White,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,USA,"Student, full-time",,,,,,,5,,,PostgreSQL,MySQL;PostgreSQL,Express;Node.js,Express;Node.js,C++;Go;JavaScript;Python,Assembly;C;Go;JavaScript;Python;SQL,Heroku,Heroku,2022
35-44 years old,Man,Straight / Heterosexual,White;European,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Just me - I am a freelancer, sole proprietor, etc.",UK,"Independent contractor, freelancer, or self-employed","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test",Pound sterling,GBP,120000.0,Monthly,1809204.0,26,22,Linux-based;macOS,PostgreSQL;Redis,PostgreSQL;Redis,Django;Flask,Django;Node.js,APL;HTML/CSS;JavaScript;Python,APL;Bash/Shell;HTML/CSS;JavaScript;Python;SQL,Heroku,AWS;Heroku,2022
45-54 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,UK,"Employed, full-time","Developer, back-end",Pound sterling,GBP,72000.0,Yearly,90460.0,32,25,Linux-based,,Elasticsearch;MySQL;Redis,,Angular;jQuery,Go;Haskell;Perl;Rust,Haskell;JavaScript;Perl;SQL,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White;European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",Germany,"Employed, full-time","Developer, embedded applications or devices",European Euro,EUR,3900.0,Monthly,49908.0,10,1,Linux-based;Windows,,,,,Bash/Shell;C++;Python;TypeScript,Bash/Shell;C;C++;Python,,,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",UK,"Employed, full-time","Engineer, data;Developer, full-stack",Pound sterling,GBP,,,,7,7,Linux-based;Windows Subsystem for Linux (WSL),MySQL;PostgreSQL,MariaDB;MySQL;Oracle;Redis;SQLite,Angular.js;Django;FastAPI,Django,C++;Python;SQL,C++;HTML/CSS;JavaScript;Python;SQL;VBA,Google Cloud,Google Cloud,2022
Under 18 years old,Man,Prefer not to say,Indian,Primary/elementary school,,India,"Independent contractor, freelancer, or self-employed;Not employed, and not looking for work",Student,,,,,,1,,Linux-based;Windows;Windows Subsystem for Linux (WSL),Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Firebase Realtime Database,MongoDB;MySQL;SQLite,Angular;Angular.js;Nuxt.js;Vue.js,Django;Flask;Next.js;Node.js;React.js,C;C#;C++;F#;Go;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;R;Swift,C;C#;C++;HTML/CSS;JavaScript;Python;SQL,AWS;DigitalOcean;Firebase;Google Cloud;Microsoft Azure,Google Cloud;Heroku,2022
25-34 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,India,"Student, full-time",,,,,,,1,,BSD,PostgreSQL,MongoDB;MySQL,Next.js;Nuxt.js;Vue.js,Express;jQuery;Next.js;Node.js;React.js,Rust,HTML/CSS;JavaScript;TypeScript,,DigitalOcean,2022
18-24 years old,Man,Straight / Heterosexual,Indian;South Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,India,"Student, full-time",,,,,,,3,,Windows,,,Django;Flask;Node.js;React.js;Vue.js,React.js,C++;JavaScript;Python,JavaScript;Python,,,2022
35-44 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",India,"Employed, full-time","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile",Indian rupee,INR,,,,16,14,Linux-based;macOS;Windows,Microsoft SQL Server;MongoDB;SQLite,Microsoft SQL Server;MySQL;SQLite,Angular;ASP.NET;ASP.NET Core ;Blazor;jQuery;Node.js;React.js;Vue.js,Angular;ASP.NET;ASP.NET Core ;Blazor;Django;Flask;jQuery;Node.js,C#;Crystal;Elixir;Erlang;Go;HTML/CSS;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript,C#;Crystal;HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL;TypeScript;VBA,Firebase;Microsoft Azure,Firebase,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,India,"Employed, full-time","Developer, full-stack",Indian rupee,INR,43000.0,Monthly,6660.0,5,2,Windows;Windows Subsystem for Linux (WSL),PostgreSQL;Redis,MongoDB,,Angular;Node.js,C++,HTML/CSS;JavaScript;TypeScript,,AWS,2022
25-34 years old,Man,,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",India,"Employed, full-time","Developer, back-end",Indian rupee,INR,600000.0,Yearly,7738.0,6,6,Linux-based;Windows,Elasticsearch;MongoDB;Oracle;PostgreSQL;Redis,MariaDB;MongoDB;PostgreSQL,Node.js;Symfony,jQuery;Laravel,Go;Java;JavaScript;PHP,HTML/CSS;JavaScript;PHP,Heroku;Oracle Cloud Infrastructure,AWS;DigitalOcean,2022
25-34 years old,Woman,Bisexual;Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",UK,"Employed, full-time",Engineering manager,Pound sterling,GBP,,Monthly,,6,4,macOS,,,,,Python,Python;TypeScript,,,2022
