Employment,Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,OpSys,Age,Gender,Sexuality,Ethnicity,ConvertedCompYearly
"Employed full-time","United States of America","Some college/university study without earning a degree",10,4,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, QA or test;Designer;Engineering manager","20 to 99 employees","USD	United States dollar",105000,Yearly,Swift,Swift,NA,NA,AWS,AWS,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",105000
"Employed full-time",Sweden,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",29,24,"Developer, desktop or enterprise applications","1,000 to 4,999 employees","SEK	Swedish krona",56000,Monthly,C++;Python,C++;LISP;Rust;Swift,NA,NA,NA,NA,Windows,"45-54 years old",Man,"Straight / Heterosexual;Bisexual","White or of European descent",68724
"Employed full-time",Brazil,"Professional degree (JD, MD, etc.)",4,4,"Developer, mobile","1,000 to 4,999 employees","BRL	Brazilian real",4000,Monthly,Dart;Java;Kotlin;Python;Swift;TypeScript,NA,PostgreSQL,NA,AWS,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",10992
"Employed full-time",Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,3,"Developer, mobile;Developer, full-stack;Database administrator;Developer, QA or test","20 to 99 employees","SEK	Swedish krona",33000,Monthly,HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript,Java;JavaScript;Python;SQL;TypeScript,"MariaDB;Microsoft SQL Server",Firebase;MongoDB;MySQL,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",40500
"Employed full-time",Croatia,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",6,1,"Developer, game or graphics","20 to 99 employees","HRK	Croatian kuna",11000,Monthly,C++,C++,NA,NA,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",19152
"Student, full-time",Indonesia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,NA,NA,NA,NA,NA,NA,C#;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,MariaDB;MySQL;PostgreSQL;SQLite,MySQL,"DigitalOcean;Heroku;Microsoft Azure",NA,Windows,"18-24 years old",Man,NA,"Southeast Asian",NA
"Employed full-time","Iran, Islamic Republic of...","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",18,12,"Engineer, site reliability",NA,NA,NA,NA,Go;Python,Go,MySQL,PostgreSQL,NA,NA,Linux-based,"35-44 years old",Man,NA,NA,NA
"Employed full-time","Iran, Islamic Republic of...","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",5,1,"Developer, back-end","20 to 99 employees","IRR	Iranian rial",45000000,Monthly,JavaScript;Node.js;SQL,Go;JavaScript;Node.js;SQL;TypeScript,PostgreSQL,MongoDB;PostgreSQL;Redis,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","Middle Eastern;East Asian",12828
"Student, full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",2,NA,NA,NA,NA,NA,NA,C++;HTML/CSS;Java;JavaScript;Matlab;Python;TypeScript,C++;Go;HTML/CSS;Java;JavaScript;Matlab;PHP;Python;SQL,SQLite,MongoDB;MySQL;SQLite,NA,NA,Linux-based,"18-24 years old",Man,NA,"Southeast Asian;South Asian",NA
"Employed full-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",20,10,"Developer, desktop or enterprise applications;Developer, full-stack;Data scientist or machine learning specialist;Database administrator","1,000 to 4,999 employees","EUR European Euro",6000,Monthly,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;F#;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,"Microsoft SQL Server;PostgreSQL;Redis;SQLite","Microsoft SQL Server;PostgreSQL;Redis;SQLite","Microsoft Azure","Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",77832
"Employed part-time",Australia,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",11,"Less than 1 year","Developer, desktop or enterprise applications;Developer, full-stack;Student","1,000 to 4,999 employees","AUD	Australian dollar",480,Weekly,C#;JavaScript,C#;Go;TypeScript,NA,NA,NA,NA,MacOS,"18-24 years old",Man,Bisexual,"White or of European descent",16050
"Not employed, and not looking for work",Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",15,NA,NA,NA,NA,NA,NA,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;TypeScript;VBA,C#;HTML/CSS;JavaScript;Node.js,"Microsoft SQL Server;MongoDB;MySQL;PostgreSQL",Elasticsearch;MongoDB;Redis,"AWS;Microsoft Azure","Microsoft Azure",Windows,"25-34 years old",Man,"Straight / Heterosexual","Hispanic or Latino/a/x",NA
"Independent contractor, freelancer, or self-employed",Sweden,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",14,7,"Developer, mobile;Developer, full-stack;DevOps specialist","Just me - I am a freelancer, sole proprietor, etc.","SEK	Swedish krona",41500,Monthly,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Python;SQL,Bash/Shell;Java;Kotlin;Rust,MySQL,PostgreSQL,AWS,AWS,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",50928
"Independent contractor, freelancer, or self-employed",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",2,1,"Developer, full-stack;Engineer, data","20 to 99 employees","INR	Indian rupee",35000,Monthly,C;C++;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL,Rust;TypeScript,MongoDB;MySQL,Elasticsearch;Redis,"Google Cloud Platform;Heroku",AWS,Windows,"18-24 years old",Man,"Straight / Heterosexual","South Asian",5868
"Student, full-time",India,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5,NA,NA,NA,NA,NA,NA,C++;HTML/CSS;JavaScript;Node.js;VBA,C#;Python;TypeScript,MongoDB;MySQL,NA,"Google Cloud Platform;Heroku",NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","South Asian",NA
"Student, full-time",Belgium,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,NA,NA,NA,NA,NA,C;C#;C++;JavaScript;Node.js;Python;TypeScript,Bash/Shell;C;C#;C++;Go;JavaScript;Node.js;Python;TypeScript,"Microsoft SQL Server;MongoDB;MySQL","Microsoft SQL Server;MongoDB;MySQL","Google Cloud Platform","Google Cloud Platform",Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent;Or, in your own words:",NA
"Not employed, and not looking for work",Poland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",5,NA,NA,NA,NA,NA,NA,NA,NA,SQLite,NA,NA,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Ukraine,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",NA,NA,"Developer, back-end","10,000 or more employees","UAH	Ukrainian hryvnia",120000,Monthly,Java;Python;SQL,Java;Python;SQL,MySQL,Cassandra;DynamoDB;Elasticsearch;MySQL,"AWS;Google Cloud Platform","AWS;Google Cloud Platform",Linux-based,"45-54 years old",Man,"Straight / Heterosexual","White or of European descent",58728
"Employed full-time","Czech Republic","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",9,4,"Developer, back-end;Database administrator","20 to 99 employees","NOK	Norwegian krone",NA,NA,C#;SQL,C#,"Elasticsearch;Microsoft SQL Server",Elasticsearch,"Microsoft Azure","Microsoft Azure",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time","United States of America","Some college/university study without earning a degree",35,25,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Senior Executive (C-Suite, VP, etc.)","100 to 499 employees","USD	United States dollar",156000,Yearly,Bash/Shell;C#;Delphi;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript;VBA,C#;PowerShell;SQL;TypeScript,"Elasticsearch;Microsoft SQL Server;Redis;SQLite","Elasticsearch;Microsoft SQL Server;Redis","AWS;Google Cloud Platform;Microsoft Azure","Google Cloud Platform;Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",156000
"Employed full-time",Israel,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",21,20,"Engineering manager","10,000 or more employees","ILS	Israeli new shekel",44500,Monthly,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL,Elixir;Erlang;Java;JavaScript;Node.js;SQL,"DynamoDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite",PostgreSQL,AWS,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","Or, in your own words:",155844
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Other doctoral degree (Ph.D., Ed.D., etc.)",15,NA,Educator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MacOS,"35-44 years old",Man,"Straight / Heterosexual","Prefer not to say",NA
"Employed full-time","Russian Federation","Some college/university study without earning a degree",10,2,"Developer, mobile","20 to 99 employees","RUB	Russian ruble",NA,NA,Swift,Swift,SQLite,NA,NA,NA,MacOS,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Canada,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,5,"Data or business analyst","10,000 or more employees","CAD	Canadian dollar",103000,Yearly,R;SQL;VBA,Python;R;SQL;VBA,"Microsoft SQL Server;Oracle","Microsoft SQL Server;Oracle",NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",77900
"Not employed, but looking for work",Bangladesh,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,NA,NA,NA,NA,NA,NA,C;C++;Java;Matlab;Python;SQL,C;C++;Matlab;Python;SQL,MySQL;SQLite,MySQL;SQLite,Heroku,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","South Asian;East Asian",NA
"Employed full-time",Poland,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",4,2,"Other (please specify):;DevOps specialist","10,000 or more employees","PLN	Polish zloty",110000,Yearly,C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;VBA,HTML/CSS;Java;JavaScript;Node.js;SQL,"Microsoft SQL Server;MongoDB;MySQL;PostgreSQL",MySQL,"Microsoft Azure","AWS;Microsoft Azure",Windows,"25-34 years old",Man,"Straight / Heterosexual","Middle Eastern",27844
"Employed full-time",Switzerland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",22,15,"Developer, front-end;Developer, back-end;Educator","1,000 to 4,999 employees","CHF	Swiss franc",124038,Yearly,C#;HTML/CSS;Java;JavaScript;PHP,HTML/CSS;Java;JavaScript;PHP,MariaDB;MySQL;SQLite,MariaDB;PostgreSQL;SQLite,NA,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",126083
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Some college/university study without earning a degree",12,6,"Developer, full-stack","100 to 499 employees","GBP	Pound sterling",40000,Yearly,C#;SQL,C#;SQL,"Microsoft SQL Server;MySQL",MySQL;SQLite,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",51704
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",20,16,"Developer, full-stack","10,000 or more employees","EUR European Euro",47000,Yearly,HTML/CSS;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;MySQL,MariaDB;MySQL,NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",50806
"Independent contractor, freelancer, or self-employed",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",42,30,"Developer, mobile;Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Developer, game or graphics;Engineering manager","Just me - I am a freelancer, sole proprietor, etc.","EUR European Euro",2000,Weekly,Assembly;C;C#;C++;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript;VBA,Assembly;C;C#;C++;Objective-C;Python;Rust,"Microsoft SQL Server;MongoDB;SQLite","Microsoft SQL Server;MongoDB;SQLite","Microsoft Azure","AWS;Google Cloud Platform;Microsoft Azure",Windows,"55-64 years old",Man,"Straight / Heterosexual","White or of European descent",108100
"Employed full-time",Turkey,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,4,"Developer, back-end","20 to 99 employees","USD	United States dollar",38400,Yearly,HTML/CSS;JavaScript;PHP;Ruby,Elixir;Go;Python;Rust;Scala,MySQL;PostgreSQL;Redis,Elasticsearch;Firebase,"AWS;Google Cloud Platform;Heroku",NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",38400
"Independent contractor, freelancer, or self-employed",Greece,"Some college/university study without earning a degree",9,NA,"Developer, full-stack",NA,NA,NA,NA,Bash/Shell;C;C#;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript,Bash/Shell;C;C#;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript,Firebase;MySQL;Oracle;Redis;SQLite,Firebase;MySQL;Redis;SQLite,"Google Cloud Platform;Microsoft Azure","Google Cloud Platform;Microsoft Azure",Linux-based,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Belgium,"Other doctoral degree (Ph.D., Ed.D., etc.)",30,12,"Data scientist or machine learning specialist;Academic researcher;Scientist","20 to 99 employees","EUR European Euro",8000,Monthly,C++;Java;Julia;Matlab;Python,C#;F#;Haskell;Matlab;Python,MySQL;Oracle,MySQL;Oracle,NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",103776
"I prefer not to say",Indonesia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,NA,NA,NA,NA,NA,NA,Java;Kotlin,C++;Dart;JavaScript;Kotlin;Python;Swift;TypeScript,NA,NA,NA,NA,Windows,"Under 18 years old",Man,"Straight / Heterosexual","Southeast Asian",NA
"Student, full-time","United Kingdom of Great Britain and Northern Ireland","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,NA,NA,NA,NA,NA,NA,Java;Python,Java;Python,NA,NA,NA,NA,Windows,"Under 18 years old",Woman,"Straight / Heterosexual","South Asian",NA
"Independent contractor, freelancer, or self-employed","United Kingdom of Great Britain and Northern Ireland","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",16,11,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.","GBP	Pound sterling",0,Yearly,NA,NA,PostgreSQL;Redis,PostgreSQL;Redis,NA,NA,Linux-based,"25-34 years old",NA,NA,NA,NA
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,9,"Other (please specify):","100 to 499 employees","USD	United States dollar",230000,Yearly,C;C#;C++;JavaScript;Node.js;Python;TypeScript,C;C#;C++;JavaScript;Node.js;Python;TypeScript,NA,NA,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",230000
"Employed part-time","United States of America","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,2,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Academic researcher","2 to 9 employees","USD	United States dollar",900,Weekly,C#;HTML/CSS;Python;TypeScript;VBA,Haskell;Rust;TypeScript,NA,NA,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","South Asian",45000
"Not employed, but looking for work",Bangladesh,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",14,NA,"Developer, front-end;Developer, full-stack;Developer, back-end;Designer;System administrator",NA,NA,NA,NA,HTML/CSS;JavaScript;PHP;TypeScript,HTML/CSS;JavaScript;PHP;TypeScript,MariaDB;MySQL;PostgreSQL;SQLite,MariaDB;MySQL;PostgreSQL;SQLite,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","South Asian",NA
"Student, full-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",12,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript;Python;SQL,HTML/CSS;JavaScript;Julia;Python;Rust;SQL,PostgreSQL,PostgreSQL,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,3,"Developer, front-end;Developer, full-stack;Engineer, data;Developer, back-end;Developer, embedded applications or devices","500 to 999 employees","INR	Indian rupee",700000,Yearly,Bash/Shell;C#;HTML/CSS;JavaScript;SQL,Bash/Shell;C#;Go;HTML/CSS;JavaScript;Node.js;Python;Rust;SQL;TypeScript,"MariaDB;Microsoft SQL Server;MySQL","MariaDB;Microsoft SQL Server;MongoDB;MySQL","AWS;Microsoft Azure","AWS;Google Cloud Platform;Microsoft Azure",Linux-based,"18-24 years old",Man,"Straight / Heterosexual","South Asian",9773
"Employed full-time",Greece,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",9,3,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Student","100 to 499 employees","EUR European Euro",NA,NA,C#;HTML/CSS;JavaScript;PHP;SQL,C#;HTML/CSS;TypeScript,"Microsoft SQL Server;MongoDB;MySQL;Oracle;Redis",MySQL;Redis,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",13,4,"Developer, desktop or enterprise applications;Developer, back-end;Database administrator;Developer, game or graphics","20 to 99 employees","EUR European Euro",42000,Yearly,C#;C++;JavaScript;PHP,C#;C++,Redis,Redis,"Microsoft Azure","Microsoft Azure",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",45401
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",20,15,"Developer, full-stack","100 to 499 employees","USD	United States dollar",120000,Yearly,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;SQL,"Microsoft SQL Server;Redis;SQLite","Microsoft SQL Server;Redis","Microsoft Azure","Microsoft Azure",Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent;Hispanic or Latino/a/x;Indigenous (such as Native American, Pacific Islander, or Indigenous Australian)",120000
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,8,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator","20 to 99 employees","USD	United States dollar",66500,Yearly,HTML/CSS;JavaScript;PHP,TypeScript,Elasticsearch;MySQL;Redis;SQLite,NA,DigitalOcean,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",66500
"Employed full-time","South Africa","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",20,5,"Developer, front-end;Designer","500 to 999 employees","ZAR	South African rand",39000,Monthly,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript,C#;HTML/CSS;JavaScript;Node.js;Python;TypeScript,NA,NA,NA,NA,Windows,"35-44 years old","Woman;Non-binary, genderqueer, or gender non-conforming","Straight / Heterosexual","White or of European descent",31224
"Independent contractor, freelancer, or self-employed",Nepal,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",8,4,"Developer, mobile;Developer, back-end;Designer","Just me - I am a freelancer, sole proprietor, etc.","USD	United States dollar",NA,NA,Dart;Java;Python;SQL,C++;Dart;Java;JavaScript;Python;SQL,MariaDB;MySQL;SQLite,Elasticsearch;MariaDB;MySQL;SQLite,DigitalOcean;Heroku,DigitalOcean,Windows,"25-34 years old",Man,"Straight / Heterosexual","South Asian",NA
"Employed full-time",India,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",6,6,"Developer, front-end;Developer, full-stack;Developer, back-end","20 to 99 employees","INR	Indian rupee",48000,Monthly,HTML/CSS;JavaScript;PHP,Go;HTML/CSS;JavaScript;PHP;Python;Ruby;Swift,MariaDB;Redis,Elasticsearch;MariaDB;MongoDB;PostgreSQL;Redis;SQLite,DigitalOcean,AWS;DigitalOcean,MacOS,"25-34 years old",Man,"Straight / Heterosexual","South Asian",8040
"Employed full-time",Bangladesh,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,5,"Developer, front-end;Developer, full-stack;Developer, back-end","100 to 499 employees","BDT	Bangladeshi taka",52000,Monthly,C;C#;C++;HTML/CSS;JavaScript;Node.js;PHP;TypeScript,HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript,Firebase;MySQL,Elasticsearch;Firebase;MongoDB;MySQL,AWS,AWS,Linux-based,"25-34 years old",Man,"Prefer not to say","Prefer not to say",7344
"Employed full-time",Madagascar,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",11,2,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end","100 to 499 employees","MGA	Malagasy ariary",1070000,Monthly,C;C++;HTML/CSS;JavaScript;Node.js;TypeScript,C++;HTML/CSS;JavaScript;Node.js;TypeScript,MongoDB;MySQL;PostgreSQL,Elasticsearch;Firebase;MongoDB;PostgreSQL;Redis,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","Black or of African descent",3444
"Independent contractor, freelancer, or self-employed",Kenya,"Some college/university study without earning a degree",3,1,"Developer, full-stack;Developer, back-end;Academic researcher;Data or business analyst","2 to 9 employees","KES	Kenyan shilling",30000,Monthly,Dart;HTML/CSS;PHP;Python;SQL,C#,MongoDB;MySQL;PostgreSQL;SQLite,"Microsoft SQL Server","Google Cloud Platform;Microsoft Azure","AWS;Microsoft Azure","Other (please specify):","18-24 years old","Prefer not to say","Straight / Heterosexual","Black or of African descent",3564
"Employed full-time","Sri Lanka","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",17,13,"Developer, embedded applications or devices","I donâ€™t know","LKR	Sri Lankan rupee",NA,NA,C;C++;Java;Matlab;Python,C;C++;Python,NA,NA,NA,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","South Asian",NA
"Employed full-time",Finland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",10,5,"Developer, front-end","10 to 19 employees","EUR European Euro",3800,Monthly,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,PostgreSQL,PostgreSQL,NA,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",49296
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",15,7,"Developer, full-stack","2 to 9 employees","USD	United States dollar",125000,Yearly,Bash/Shell;C;HTML/CSS;JavaScript;Python;Ruby;SQL,Go;Python,MariaDB;MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;Redis,"Google Cloud Platform","Google Cloud Platform",MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",125000
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",13,6,"Developer, desktop or enterprise applications","5,000 to 9,999 employees","EUR European Euro",43000,Yearly,C#,C#;C++;Python,NA,NA,NA,NA,Windows,"25-34 years old",Man,"Prefer not to say","White or of European descent",46482
"Employed part-time",Austria,"Some college/university study without earning a degree",8,1,"Developer, mobile;Developer, front-end;Developer, full-stack;Student","20 to 99 employees","EUR European Euro",1550,Monthly,Bash/Shell;C#;Dart;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Rust;Swift,Dart;Go;HTML/CSS;Kotlin;Rust;TypeScript,MongoDB,MongoDB,"AWS;Microsoft Azure",AWS,MacOS,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",20112
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",16,10,"Developer, front-end;Developer, full-stack","1,000 to 4,999 employees","INR	Indian rupee",2100000,Yearly,HTML/CSS;Java;JavaScript;Node.js;TypeScript,Elixir;Erlang;HTML/CSS;JavaScript;Node.js;TypeScript,NA,NA,NA,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","South Asian",29320
"Employed full-time",Netherlands,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",19,14,"Developer, back-end","500 to 999 employees","EUR European Euro",275000,Yearly,C++;Python;Rust,Rust,MySQL,NA,NA,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",297270
"Employed full-time","Russian Federation","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,2,"Developer, back-end","10 to 19 employees","RUB	Russian ruble",40000,Monthly,C++;JavaScript;Node.js;PHP,Java,MySQL,NA,NA,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","Middle Eastern",7548
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",28,22,"Developer, full-stack;Developer, back-end","2 to 9 employees","GBP	Pound sterling",90000,Yearly,Bash/Shell;Go;JavaScript;Node.js;Rust,Go;JavaScript;Node.js,MongoDB,MongoDB,AWS,"AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson;Microsoft Azure",Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",116333
Retired,"Czech Republic","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",27,NA,NA,NA,NA,NA,NA,Bash/Shell;C#;C++;Delphi;HTML/CSS;PHP,Bash/Shell;Python,NA,NA,NA,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",France,"Professional degree (JD, MD, etc.)",10,3,Scientist,"1,000 to 4,999 employees","EUR European Euro",50000,Yearly,LISP;R,C#;LISP;Python;R,MySQL,NA,NA,NA,Linux-based,"35-44 years old",Man,"Straight / Heterosexual",Multiracial,54049
"Employed full-time",Germany,"Professional degree (JD, MD, etc.)",17,12,"Developer, front-end;Developer, full-stack;Developer, back-end","2 to 9 employees","EUR European Euro",50000,Yearly,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript,"Microsoft SQL Server","Microsoft SQL Server","Microsoft Azure","Microsoft Azure",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",54049
"I prefer not to say",Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,NA,NA,NA,NA,NA,NA,Python,NA,NA,NA,NA,NA,Windows,"18-24 years old",Man,"Prefer not to say","White or of European descent",NA
"Employed full-time",Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12,6,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Data or business analyst;Engineering manager;Product manager","20 to 99 employees","EUR European Euro",30000,Yearly,C#;F#;HTML/CSS;JavaScript;PowerShell;SQL,C#;F#;HTML/CSS;JavaScript;PowerShell;SQL,"IBM DB2;Microsoft SQL Server;Oracle;SQLite",NA,NA,NA,Windows,"25-34 years old",Man,NA,"White or of European descent",32429
